No.,body
101,"A man who is being accused of raping a 29-year-old woman has filed a civil lawsuit in the Miami-Dade court system, claiming the the girl was “not into it,” and thereby caused his extreme emotional harm and psychological damage.According to public records, Mark Hemmingway, 33, has filed a lawsuit against Marissa Clarke, 29, both of Miami, after she failed to “really get into him” while he was forcibly having sex with her. The suit alleges that even though Clarke was severely intoxicated, she had been giving Hemmingway “the eyes” all night at a party, and then later passed out.“She had been giving me those ‘fuck me’ eyes all night at a party, and then I found her later on in the bedroom,” alleges Hemmingway. “She had her shoes on still, and everyone knows that means you’re fair game, so I went at her. I knew she wanted it, because she was giving the signals earlier. Turns out, though, she’s just a dumb bitch who wasn’t into me at all. I’m not sure if anyone realizes how fragile the male ego is, but the answer is…very.”Hemmingway is suing Clarke for a whopping $1 million dollars, claiming irreparable emotional damage. Acccording to his lawyer, Hemmingway has a “good chance” at winning his case, even if it does mean that he is admitting to the sexual assault."
102,"The former first lady and almost president, Hillary Clinton, may have disappeared from the spotlight in the weeks after the election, but apparently, the reason isn’t anything that people speculated.According to GSN – the Gameshow Network – Clinton has been busy filming episodes of POPlitics, a new show they’ve developed featuring a mashup of questions about politics and pop-culture.“Mrs. Clinton was our dream-get for the host of POPlitics, and we honestly never thought she’d sign on,” said game creator Mark Levine. “She was very close to winning the election and becoming the leader of the free world for a bit there, and we were in the middle of working out the game details and kinks at that point. Our backup would have been to get Paul Ryan, or maybe Weiner – someone else whose name people recognize. But, thankfully, she lost the election, and we were able to sign her on!”Levine says that game show shoots are grueling, and that’s why Clinton hasn’t been seen for a bit.“Game shows regularly shoot a whole week’s worth of episodes in one day, with breaks for wardrobe changes, and stuff like that,” said Levine. “Hill has been great. She has a lot of pantsuits, so it’s quick for her to just throw on a new color, and get back out there. The game really came together when she took on hosting duties. It’s going to be great!”POPlitics will begin airing in April on GSN."
103,"The Oscars have been under fire for several years for not having many representatives of color appear in any of the awards categories, especially when it comes to acting awards and Best Picture.This year, the Academy has fought back, saying that although there still aren’t many minorities represented within the awards categories, they will fill all the seats in the audience with “blacks and other minorities.”“Normally, the seats around the stage are filled with the celebrities, who are, naturally, white people,” said Oscars telecast director Joe Lambert. “This year, the Academy wanted to do something different, so we’re having all the people who will actually win the awards – that is, the white, talented people – sit way in the back, and in the balconies. The front seats will be filled be a slew of ‘seat fillers,’ which we have every year anyway so in case George Clooney runs to the crapper, the seats all still look full on TV. This year, the difference is that every single seat filler that we hired is blacker than the ace of spades.”When questioned about where Denzel Washington would be seated, as he actually is nominated this year for his film, Fences, Lambert said he “couldn’t be sure,” but he thought that the Academy wanted Denzel seated with the whites “this time.”The Oscars are slated for February 26th, and will be broadcast on ABC."
104,"A 23-year-old man, Jacob Andrews, was killed yesterday after he jumped out of the window of his 6th floor apartment in Carlson, Idaho. According to friends, Andrews had drank an entire case of the energy drink Red Bull, and mistakenly thought that the beverage would give him actual, literal wings.“We’d been drinking vodka red bulls for like, at least 5 or 6 hours,” said Andrews’ friend, Miles Teller. “After awhile, Jacob began talking about how he could fly, the commercials promised him wings, that he could jump out the window and he’d be okay. We tried to explain that it was just a commercial, they weren’t being literal. He was always a stupid drunk.”Andrews apparently downed one last can of the drink, and leaped through the window.“Funny thing is, Jacob didn’t even open the window – he smashed right through the glass, too” said Police Chief Marcus Wiggum. “Even if the 6 story drop didn’t kill him, he was pretty messed up from smashing through the giant, double-paned glass.” "
105,"Betty White has always said that she plans to work up until the day she dies, and at 96 years young, she’s not kidding. The actress, who is perhaps best known for her role on the 80s sitcom The Golden Girls, says that she has inked a deal with Netflix, who acquired the rights to the show from NBC, to appear once again as her iconic character, Rose Nylund, for a series reboot filming this year.The original series starred White, Bea Arthur, Estelle Getter, and Rue McClanahan – all of whom have passed on, save for White. The rebooted series will star White, but so far no other cast members have been announced.“The original series ended, and then we went on to film The Golden Palace for awhile, but then that one ended, too,” said White. “I have only seen the pilot script for the reboot, but it’s very funny. It takes place in the same house. A woman outbids Rose for Blanche’s house at an auction, but the two become friends and end up moving into the place together. Then, Rose’s daughter, who is now in her 60s, moves in as well, along with her 30-something daughter. The house is full once more, and the story really is a laugh riot.”White says that she signed on for the initial 6 episodes, but doesn’t know much more about the story or the characters.“It didn’t take much coaxing to get me to play Rose one more time,” said White. “I truly cannot wait.”"
106,"WWE Chairman Vince McMahon announced today that he has tapped President Donald Trump to appear at Wrestlemania 33 in Orlando, Florida on April 2nd.Trump, who had a long story arch in the WWE in the 90s and was entered into the WWE Wrestling Hall of Fame in 2013, says that he is “extremely excited” to get back in the ring.“It was one of the best times of my life, attacking Vince McMahon and appearing on their Pay-Per-View events,” said Trump. “Vince and I, we’ve been friends a long time. Rivals in the world of business, but friends all the same. When he asked me to return, I wasn’t sure it was the best thing to do, because I’ve got a lot going on right now, but this is a yuge opportunity and will be a lot of fun for me, and hopefully for the Wrestlemania crowd in Orlando. I have no problem taking a steel chair to the face, as long as that chair was made by the United Steel Workers Union here in the great country I call home – the United States of America.”“We are very excited that Donnie will be coming back in,” said McMahon in a press release posted to WWE.com. “He has always been a friend to this company, to the wrestling world, to the world of Sports Entertainment, and as an honored member of the Hall of Fame, we are very excited to have him appear at Wrestlemania 33.”Neither McMahon nor Trump have indicated in what capacity the latter would be appearing, but McMahon did drop a hint that he hoped Trump wouldn’t have any problem getting color."
107,"A New Jersey woman has been arrested after all 3 of her young children were found dead in her home. The cause of death has been listed as malnutrition. The woman starved all of her kids because she said she could “only afford enough food” for herself.“Look, ya’ll know I’m on the welfare. I ain’t got enough money coming in to feed my ass, plus all them damn kids. This ain’t no restaurant. I gotsta eat, and they just young kids. They didn’t need much anyway,” said Tawanda Grapes, 30. “This whole thing got me all fucked up, because I ain’t been able to eat in a couple hours now with all these cops asking questions and stuff.”According to police, Grapes was only feeding her children “whatever was left” after her meals, which normally was not much more than a few drops of ketchup on the hamburger wrapper or the melted ice from a soda cup.Police are saying it is it the worst case of child abuse that they have ever seen. The children, who were aged 2, 3, and 6, had not eaten in as many as 11 days, says the medical examiner.Grapes will be charged with voluntary manslaughter. If convicted, she will face the death penalty."
108,"A 12-year-old girl who asked her parents to get her a pony for Christmas has been arrested for murder, after it was discovered that she stabbed and cut up her parents for not getting her what she asked for.“I wanted a goddamn pony, and they got me a horse,” said the girl, whose name is not being revealed due to her age. “I didn’t want a fucking horse, I wanted a pony. There’s a difference, and if they’re too stupid to know it, then they’re too stupid to live.”According to police, the young girl herself called 911 to admit to her crime, and said that they could find her parents in the “goddamn stable” next to the “diced up body of that shitty horse.”Police Chief Carl Lewis said it was the most gruesome scene that he’d ever witnessed.“There were horse parts and body parts all over. We really had no idea which piece was human and which was not, it was insane. That fact that this was all done by a little girl, that’s what makes it even scarier,” said Lewis. “We also found a rubber horse mask, which she apparently wore during the crime.”Currently, the girl is being housed in an undisclosed prison by police, with plans for her to be arraigned on January 3rd. If convicted, she will be the youngest person ever put on death row."
109,"An Uber driver in Indianapolis is being sued by a couple who had to deliver their baby on the street after they say the driver would not let them into his car.“We ordered an Uber as soon as my wife went into labor, and when the driver showed up, late I might add, he wouldn’t take us to the hospital. He didn’t want to get any ‘baby gunk’ on his seats, and said he wouldn’t know what to do if he had to try and deliver the baby,” said John Richards. “My wife gave birth right on the sidewalk instead. Our baby could have caught something from the street filth!”The driver, Mr. Tony Trims, says that there was “no fucking way” he was letting these people into his car when he saw that the woman was in labor.“Look, I ain’t saying they’re bad people or nothing, but for sure she was gonna leak on my seats. Part of the Uber policy is that I don’t have to pick up anyone if I don’t want to. I took the job, yeah, but the next guy would have been along in about a minute,” said Trims. “They spent that time bitchin’ at me instead of ordering another Uber. Not my problem.”The lawsuit has been filed by the Richards family, and they say that their lawyer thinks they have a “hell of” a discrimination case."
110,"A mother in Boston who bought each of her 7 children the year’s hottest toy, a Hatchimal, says the creatures had been mostly speaking gibberish when first opened on Christmas morning, but over the last week, have started saying some “truly disturbing things.”“These Hatchimals are basically just like those old Ferby toys, remember those?” said Carla Jones, 28. “I had one of those when I was a kid. They spoke in random gibberish. Well, these Hatchimals, they did too mostly. But then the other day, I noticed that my youngest son, Tyler, who is 4, started saying some horrible things. I asked him where he learned those words, and he pointed to his Hatchimal.”Jones was asked if the words could be repeated for print, and she said “she didn’t think they should be said,” but wanted to make sure that other parents knew what these “dangerous toys” were teaching their children.“If it was only something as simple as it saying ‘fuck’ or something, then I’d be okay with that. They hear that kind of talk on Sesame Street these days, for crying out loud,” said Jones. “No, it was much more sinister. I’m honestly having a hard time saying the words, but truly, everyone should know. These Hatchimals, they taught my son to say ‘Donald Trump will make a great president.’ OH MY GOD I can’t believe I said it. It’s so sick.”Empire News reached out the company behind Hatchimals, but received no response."
111,"Matt Groenig, creator of The Simpsons, says that next year will finally be the last season for the cartoon – the longest running show in prime time.“Frankly, we’re all pretty bored with it. The show has been on for, what, about 30 or 40 seasons, and it’s just stale. I mean yeah, it’s funny for the audience, but this cast, these guys and gals, man, they’re bored. I don’t blame them,” said Groenig.FOX, the channel that airs the show in the U.S., said that they are “more than ready” to fill the Sunday night timeslot with something else, and are eyeing Family Guy creator Seth McFarlane to work on a new show.“Seth has come up with some great ideas, and we’re really excited to see where they go,” said FOX CEO Marvin Hamlin. “He actually just pitched us a new show yesterday that we’re ordering a pilot for. It’s called The Stimpsons, and it is an animated show about a dysfunctional family. There’s the alcoholic dad, the big-haired mom, a few precocious kids. Frankly, we have never seen anything like it before, and we’re thinking it’s going to be great.” "
112,"One of the stars of the TLC TV series Big Fat Fabulous Life has come forward, saying that the cable channel completely sabotaged her weight loss goals by constantly providing her with food.“I told producers I planned to lose weight. I was feeling horrible, fat, and unhealthy. Despite the title, being fat is not fabulous,” said Mary Lawrence, who weighed 297 pounds when she started filming the show. “I wanted to get down to around 165. I started talking to my doctors, and they were going to help. TLC seemed supportive, but then their wallets got the better of them.”Lawrence, 28, says that TLC began sending her baskets of food, restaurant gift certificates, and they cancelled the personal trainer they said they’d help pay for.“They really just wanted me to stay fat, because it is good for ratings if I’m huge,” said Lawrence. “I couldn’t help myself. When someone sends you a basket of cheeseburgers from In-and-Out, you have no choice but to devour them all. In one sitting. By yourself. While watching My 600lb Life.”TLC representatives could not be reached for comment."
113,"Star Wars fans have been hanging around Hollywood Boulevard for the last two days, after a man says he saw Carrie Fisher’s ghost hanging around downtown.“It was the craziest thing I’ve ever seen,” said Mario Lewis, who is on vacation from Idaho. “There was this gorgeous woman, and she was dressed as Princess Leia from the Star Wars movies. I walked over to her and my eyes just bugged out. It was Princess Leia! It was the ghost of Carrie Fisher, and it made my life seeing that.”Although so far no one else has seen Ms. Fisher’s ghost appear in Hollywood – or anywhere else – a rabid fanbase of Star Wars nerds have been wandering all over Hollywood, hoping to catch a glimpse.A homeless woman, Marlene Simmons, who has lived in Hollywood her whole life, says that the tourist is just an idiot.“There’s no damn ghost here. Never was of any other celebrity, sure as shit wouldn’t be of Carrie Fisher, neither,” said Simmons. “That damn fool just got confused because there are always people out here on the Boulevard, dressed up as characters from movies and what not. Dumbass saw a woman dressed like Princess whoever, got himself all riled up. Now get yo’ ass out my face. You’re standing in my bathroom.”"
114,"For as long as anyone can remember, doctors have said that being skinny was the only way one could be “truly” healthy. According to one doctor out of Boston, though, that’s just not the case.In a study conducted over the last 5 years, Dr. Carl Bernstain has concluded that the fatter a person is, the more likely they are to live longer and have overall better health.“It seems counterintuitive to everything medical doctors have always said, but it’s really very simple,” said Dr. Bernstain. “Basically, when someone is tremendously fat, their organs are protected by layers and layers of thick, slippery, fatty cells. These cells keep everything internal running smoothly. Most of my patients over 400lbs have been living decades longer than their previous doctors had told them, all because of my discoveries.”Dr. Bernstain says that although being skinny may make it easier for people to do more “active” things, being active isn’t always the most healthy thing, either.“My patients, they can’t always walk on their own, and they do have to have someone to help them make it to the bathroom or shower properly, but they’ll live long lives, and longevity is the most important thing,” said Dr. Bernstain. “Yes, skinny people can go outside and be active. They may even find attractive mates and live into their 60s, but really, is that what life is all about?”Dr. Bernstain himself weighs a paltry 196 pounds, but says he does plan to “bulk up” so he can continue to practice medicine for “as long as possible.”"
115,"“We’ve never seen anything like this before,” said Dr. Hans Vermhat of the Barrow Neurological Institute. “The drug addicts in Colorado are injecting a new strain of marijuana that changes the chemical makeup in the brain’s receptors which control the users like or dislike of the opposite sex; ultimately turning them into a flaming homosexual.”Michele Leonhart, DEA chief of operations in Denver, told ABC news that marijuana related problems in Colorado have quadrupled since…READ FULL STORY HERE"
116,"Anthony Jeffries, 29, of Little Rock, was arrested by authorities and charged with first degree murder after authorities found his 24-year-old girlfriend dead in the basement of his home. According to reports, Danica Rebel, the now deceased girlfriend of Jeffries, placed a series of 911 calls, regarding a domestic dispute between the two.According to reports, Rebel had placed 3 calls to police, reporting that her boyfriend, was becoming violent with…READ FULL STORY HERE"
117,"A 27-year-old woman was pulled over early morning due to a speeding violation. Natasha Brown, acted in a very suspicious manner officers decided to search her vehicle where they discovered $60,000 in cash. When officers asked her why she had such a large amount of money she replied “I’m getting an abortion” she was taken into custody for further questioning.She told Baton Rouge investigators that the money was rightfully hers, Investigators asked her for employment information and she told investigators she had no job that she was a “self-employed entrepreneur” she then told investigators she had multiple…READ FULL STORY HERE"
118,"An 85-year old Texas woman has been arrested by local law enforcement after being caught on film kidnapping one of her neighbor’s cats with which she is accused of making fur coats.The recent disappearance of domestic animals in the neighborhood started to arise suspicion from local residents when some people started to notice the old lady’s particular fur coats, some even recognizing their cats in the coat’s furs, a fact the lady vehemently denied before being caught on videotape by a private detective hired by local residents to follow the suspicious lady.It is believed the old lady started at first to raise her own cats but finally decided to…READ FULL STORY HERE"
119,"Doctor Jagadhish Parsa, who assisted yesterday in the birth of a baby born with a rare malformation causing him to have two distinct brains crammed inside his head, claims that the newborn could be a unique case of two separate minds sharing a single head and body. Tamish and Rajiv Mukeherjee were born at 09:10 AM at the Saiffe Hospital, after a long and complicated surgical operation meant to extract them safely from their mother’s womb.The boys are a unique case of disrosopus, a rare condition in which twins share the same body but have separate faces and brains. In the case of Tamish and Rajiv, the twins share both the same face and the same body, with each of them controlling only one side…READ FULLY STORY HERE"
120,"A 32-year old man went on a killing frenzy last night, after spending 36 hours in a row watching Walkind Dead while doing drugs. According to the police, Kevin Fogarty was so badly intoxicated with crystal meth, that he became convinced his apartment was surrounded by zombies.He equipped himself with an assault rifle, two pistols, a machette and a hammer, before going outside to “kill undead…”READ THE FULL STORY HERE"
121,"An incident coming out of Greenville, North Carolina is just one example of what some people will do around the holidays when they are short on cash. A 34-year-old mother of 3 is now under arrest after a shoplifting incident turned tragic. Witnesses say Shatuanee Greene entered the North Carolina Walmart on Sunday with her three children ages 5, 7, and 8 when she grabbed a can of pre-made Christmas cookie dough. CCTV footage shows the young mother take the can to the toy aisle as her children crowded around her. Greene then lifted up her skirt and made the can of cookie dough “disappear.”When Greene was approached by Walmart security, she told…READ FULL STORY HERE"
122,"If you purchase/drink Dasani water you might want to listen up. There has been a major recall by the Coca-Cola company today after several thousand bottles of their drinking water was found to be contaminated with a parasite. It has sent several hundred people to the hospital and is responsible for parasitic symptoms such as fever, rash, vomiting and stomach bloating.This comes on the heels of a recent report in which Coca-Cola admitted that Dasani is really just“purified” tap water. The corporation admitted in January that their water brand was just purified tap water dressed in a fancy looking bottle. Like many other bottled waters, Dasani is sold at a premium price, and many people perceive it to be superior to tap water – even though it actually is just tap water.READ THE FULL STORY HERE"
123,"An 87-year-old Nashville retired postman has been proven to have fathered over 1,300 illegitimate children after a private investigator hired by a Tennessee family discovered the shocking truth. The investigation that has gathered thousands of DNA samples and testimonies over a 15 year period ultimately proves the man is the father to literally thousands of illegitimate children in the region.“Contraception wasn’t very popular in those days,” he told local reporters in his defense. “I have nothing to be ashamed of. The 60s were the good old days and I did a great Johnny Cash impression which played out real good with the ladies. Some even thought I was Johnny Cash for real. I don’t know if they really believed it or if they were trying to convince themselves, but who was I to say no to a quickie.”READ THE REST HERE "
124,"An elderly man who died while visiting a New Hampshire haunted house almost a month ago was not discovered until last night, after a young child was brave enough to walk up and touch what he thought was a dummy.“Brian was trying to be brave, because we told him the house was just in fun, no one was really dead and it wasn’t real scary stuff, just pretend,” said Maria Downs who, along with her husband Michael, were taking their 7-year-old son to his first haunted house. “He saw the man in the corner. We thought it was a dummy, so we laughed. Brian bravely walked over to touch it, so he could see for himself that it wasn’t real. As soon as he put his hand on him, Brian turned and ran out of the house screaming.”When the Downs family took a closer look, they realized that their son had just touched an actual dead body.According to police, Phil Richards, 80, had gone through the house by himself during early October, and had apparently died of a heart attack.“No one realized, because he looked kind of plastic and fake,” said police chief Mario Jones. “The owners never saw it; they didn’t go through the house themselves as they were too busy working the front, and the guests all thought the smell was from the fog machines pouring through.”The owners say that they will be “more vigilant” in checking for dead bodies next year, but they are planning on offering a discount on Halloween night to anyone who wants to go through their haunt and see where the body was."
125,"Doctors in Atlanta and Marshall Research Hospital have discovered that PepsiCo.’s product, Mt. Dew, is “extremely good” for babies, with 8 out of 10 premature infants in the study reacting positively to heavy doses of the soda, including quicker growth spurts, quicker time removed from respirators, as well as teaching them how to “suck, swallow, and breathe” faster.“Most premature babies cannot suck, swallow, and breathe at the same time, which is why they spend months in hospitals, learning how to eat and drink without choking,” said Dr. Emmett Brown, who headed the study. “When we switched their normal formula, which is fed through a tube for most preemies, to Mt. Dew, we saw excellent and noticeable improvement within days.”Of the 1,000 premature babies that were studied, Dr. Brown says that they had a “100% survival rate,” with 85% of the babies going home before their due date, which is unheard of in standard medical practice.“We are looking at how Mt. Dew has helped these babies, and the reasoning behind it,” said Brown. “We may also start to try other drinks as well, such as RedBull, to see the effects there. We have high hopes.”"
126,"A couple who ate some of their child’s Halloween candy without checking first to see if it had been tampered with died after they both ate chocolates that had been injected with rat poison.Mary and George Richards, both 33, of Gardiner, Georgia, took their 4-year-old son, Michael, out trick or treating on Monday evening, and when they arrived home at around 8PM, they sent Michael to bed.According to their Facebook page, they were planning on sneaking some of Michael’s candy, and had a status saying that they “hoped he wouldn’t notice.”“Michael got so much candy tonight, I think George and I are going to take a bunch for ourselves,” read Mary’s status. “Isn’t that what Halloween is all about?”Police say the two were discovered dead only 45 minutes later, when a neighbor came by to hang out.“It was gruesome,” said the neighbor. “They were both bloated and foaming at the mouth. I called 911, but it was too late.”Despite urban legends to the contrary, this is the first case of Halloween candy poisoning in all of recorded history that wasn’t perpetrated by a friend or family member of the victim."
127,"Donald Trump has said that, in order to give Hillary a “fair chance” at winning after his “super-yuge” lead in the polls, he would allow Hillary to play him in a game of HORSE to decide the winner of the election.“I’m quite sure that I will win the election based on votes, and I don’t think it’s even fair to Hillary at this point,” said Trump. “I’m all about fair play. I love women. I respect women, and I respect Hillary. No one has more respect for Hillary than me. And with that respect comes the great admiration that always comes with respect. It with that admiration comes challenge, and with challenge comes sports, and basically, I think we should play a game of HORSE to decide the election, voting be damned.”Hillary Clinton has not responded directly to the Trump challenge, but staffers on her campaign have said that she has been practicing her layups and 3-point shots in anticipation of a “hell of a game.”"
128,"Kanye West has reportedly filed a lawsuit against Donald Trump, because Trump referred to himself as “the greatest” presidential candidate of all time. West says that is infringing on his own “best” ranking.“Everyone knows that I’m the greatest candidate, and by Donald Trump saying that he is, it tarnished my brand,” said West, who has filed the suit in Las Vegas, where he has multiple homes. “Based on his words, he has cost me money, and for that, he’s gotta pay. He’s gotta realize that you can’t just go around making claims.”The suit, which West says is worth around $20 million, has been called “frivolous” and “completely fucking stupid” by Trump’s lawyers.“We have reminded Mr. West that he is not, in fact, a presidential candidate, so it would be impossible for him to be the best,” said a lawyer for Trump. “As it turns out, he doesn’t really care about logic, he’s entirely driven by ego. We’ll look forward to seeing him in court.”"
129,"A Boston man has died after he ignored recall warnings from Samsung about their Note 7 cell phones exploding, and put it into his newly purchased Gear VR. The Gear VR is a headset worn around the face that offers a “virtual reality” experience with your own cell phone. It is designed to work with a wide variety of Samsung products.Max Willis, 20, died after his Note exploded while it was inside his headset, causing his eyes and face to be torn apart.“Normally, the ‘explosion’ of these devices is very small, but even a very small explosion that close to your face will obviously kill you,” said police chief Robert Thompson. “When we arrived at the scene, Mr. Willis’ face was in several parts all over the floor, and the plastic pieces from his headset and phone were embedded in the wall behind him. It was the most gruesome thing I’ve ever seen.”Samsung has offered to pay Willis’ parents a clean-up cost for their home, and say they are willing to give each member of the family a phone at half-price from their array of Samsung, certified pre-owned devices."
130,"A Nebraska man was arrested after he was caught in the act of strangling someone to death in an alley outside of a Omaha McDonald’s, police say. According to reports, Joel Miller, 42, was arrested for assault and attempted murder, and during questioning admitted that he had killed more than 30 people already, all of them registered sex offenders.“I’ve been killing pedos and perverts for, damn, close to 15 years now,” said Miller. “Started when I was 26 or so, after a girl I was dating was raped and murdered. I tracked the guy down myself, slit his throat. I realized I had a real knack for it after that, so I kept going.”Miller says that he wishes he hadn’t gotten caught, because he has a list of at least 3 more local “perverts” that he wanted to “knock off.”“A friend of mine – we go way back – his daughter was molested by his babysitter’s boyfriend. Everyone knew he did it. The police couldn’t prove it. The girl, she’s only 7, she clammed right up. Barely spoken since, and she won’t admit it. Well, I did the world a favor when I cut his dick off and rammed it down his throat.”Police say that, despite the “positive” nature of the crimes, Miller will still be more than likely sentenced to death for his crimes."
131,"A South Carolina man has taken it upon himself to battle the “creepy clowns” that have been sighted across the country. Pinto Colvig, 38, says that he is “sick and tired” of his town being scared to death by people dressed as menacing clowns.“It is disgusting and disturbing to torment a town, and our children, in this way,” said Colvig. “It was bad enough when it was just them damn Juggalos running around in their stupid face paint. At least you knew they didn’t mean too much harm. Now, we have people who have put on full clown masks, suits, and they carry around balloons and knives. Someone has to stop them.”Because it is not against any laws to simply dress as a clown in public, Colvig says that he has gathered a group of like-minded individuals who plan to cruise the streets, looking to “put clowns in their place.”“There are plenty of other people who are not scared of these clowns, but are scared for the people who live in this town, and in all towns. We will show them a lesson, and if we have to, yes, we’re willing to get physical. I have a lawyer on retainer, and he’s well aware that things could get rough, and we may have to make that call.”Police have cautioned Colvig that he needs to not engage with any of the clowns, and that if his “task force” wants to act as a sort of neighborhood watch, that is fine – but no violence should occur.“If anyone sees a clown – or anything or anyone – that they are bothered by, they should call the police,” said Police Chief Mick Forner. “Do not engage, as you do not know who this individual is, or what they are capable of. Simply get into your house and lock your doors, or quickly remove yourself from the area.”"
132,"The crew of the MV Nisshin Maru (日新丸), Japan’s primary whaling vessel and the world’s only whaler factory ship, was forced to leave the deck temporarily as a gas leak was detected within the ship’s processing factory that resulted in the ship being temporarily disabled all while continuing to carry approximately 1,000 tons of oil.The resulting panic lead members of the ship to jump off the boat before proper emergency procedures were taken and lifeboats had been set to sea.  The swimming crew members were then ferociously attacked by a school of killer whales, that decimated a large number of the crew within moments. “It was horrific” claims Asuka Kumara, a mechanical engineer who witnessed the gruesome  scene. “The water was red with blood, there were bodies everywhere” he recalls in tears.The incident occurred in the Southern Ocean Whale Sanctuary, near the South Eastern Coast of South Africa, a controversial area to be whaling as a recent international court ruling has ordered the country to ends its whale hunt in the Antarctic. The East Asian nation halted its annual Antarctic whaling mission after the U.N.’s International Court of Justice (ICJ) ruled last march the hunt violated an international moratorium on commercial whaling.“It seems Japan just doesn’t give a damn about international law” explains environmental activist and spokesman for Greenpeace Canada, James Ben Shahali, based in Vancouver. “The waste of life is always a shame, but the whales are not to blame here, they were only doing what they are born to do: kill for food” he adds.Some Greenpeace supporters have even celebrated the incident as a victory for the fight against whale hunting worldwideJapan has slaughtered over 6,000 whales since commercial whaling was made illegal by the International Whaling Commission (IWC) moratorium passed in 1986.(via: World News Daily Report)"
133,SHARE with your friends and COMMENT …. Did it really happen??.(via: Now 8 News)
134,"According to witnesses, Edwards was seen sitting on the porch of his girlfriend’s home located in Evanston, Massachusetts, a municipality about 10-miles outside of Boston when the incident occurred. Edwards was accompanied by 2 additional African American males and his 32-year old girlfriend Nia Brown.According to witness statements, including that of Brown’s, around 9:20 PM, 2 Evanston Police officers approached the individuals visiting on the porch and asked them what they were doing. According to Brown, Edwards, who had been smoking a marijuana cigarette, often referred to as a joint, spoke for the group and told the police officers that they were just visiting and unwinding after a long day of work.The police officers asked Edwards what was in his hand (referring to the marijuana cigarette), and Edwards replied, “Oh this is just a little something that helps me to unwind after a long day”. The police officers demanded Edwards put out the marijuana cigarette, to which according to witnesses, Edwards was slow to comply. (read more at The Boston Tribune)"
135,"Saturday night ended in a tragedy for 23 year old Alan Escamilla. According to reports Alan Escamilla was struck by lightning while he was masturbating in his bedroom.According to Dallas MD, Alan Escamilla was masturbating in his bedroom, before a massive bolt of lightning struck him.When police and ambulance arrived on the scene, they found Alan Escamilla, which “looked like burnt coal,” according to Officer Bryan Granados.“If there was one thing about Alan, it’s that he masturbated all the time. Once he spent four hours in the restroom just masturbating. I had to force him out of my apartment,” says long time friend, Alex Godoy.Alan Escamilla is expected to fully recover according to Baylor Hospital, although his penis will no longer be useable."
136," WASHINGTON, D.C. – Young black Americans are apparently taking a stand and wiping their asses with the American flag, all in support of Colin Kaepernick and his sit-in during the National Anthem, and to make notice of their rights to free speech.“I love America, there’s nothing wrong here at all as far as my life is concerned,” said Shelby McIntire, an ass-wiping, flag hater. “Problem is, fuck the flag, and fuck the national anthem. I don’t care about symbols, I care about action, and there’s none happening for young niggas like me. So, here’s your flag, here’s my shit, and now the two can meet.”The act of flag desecration is protected free speech, but McIntire has had to go into hiding thanks to internet trolls that revealed her address on popular website Reddit.“I’m not scared for me, but I don’t want them to hurt my family over this,” said McIntire. “It will all blow over, though. And I can go back to wiping my ass with toilet paper.”"
137,"Mr. Hodges, who worked for the CIA for 41 years as an operative with top-level security clearances, claims he was often employed as a hitman by the organization, to assassinate individuals who could represent a threat to the security of the country.Trained as both a sniper and a martial arts expert, Mr Hodges says he also has significant experience with more unconventional methods of inflicting harm upon others, like poisons and explosives.Mr. Hodges swears he remembers vividly, each of the assassinations he committed for the CIA.  He claims that all 37 of the murders he committed on the American soil, were ordered by his commanding officer, Major James “Jimmy” Hayworth.The elderly man claims he committed his assassinations between August 1959 and March 1972, at a time when he says “the CIA had its own agenda“. He says he was part of an operative cell of five members which carried out political assassinations across the country. Most of their victims were political activists, journalists and union leaders, but he also claims that he killed a few scientists and artists whose ideas represented a threat to the interests of the United States.Mr. Hodges says that Marilyn Monroe remains unique among his victims, as she is the only woman he ever assassinated. He claims he has no regrets, however, as he says that she had become a “threat for the security of the country”  and had to be eliminated.“We had evidence that Marilyn Monroe had not only slept with Kennedy, but also with Fidel Castro,” claims M. Hodges. ” My commanding officer, Jimmy Hayworth, told me that she had to die, and that it had to look like a suicide or an overdose. I had never killed a woman before, but I obeyed orders… I did it for America! She could have transmitted strategic information to the communists, and we couldn’t allow that! She had to die! I just did what I had to do!”Marilyn Monroe died between midnight and 1 AM, on August 5, 1962. Mr Hodges claims he entered her room while she was sleeping and injected her with a massive dose of chloral hydrate (a powerful sedative), mixed with Nembutal (a short-acting barbiturate), causing her death.The 78-year old man was placed under custody by the FBI, which is taking Mr Hodges’ confession very seriously and has opened an investigation to verify his allegations. The investigation might be very complicated, however, as very few written files are available on such secret activities and most of the actors implicated in the various cases are already dead.The most important witness in the story after Mr. Hodges himself, his alleged commanding officer, Major James Hayworth, died of a heart attack in 2011. Two of the other three “CIA assassins” identified by Mr Hodges are also dead, and the last one, Captain Keith McInnis, went missing in action in 1968 and is presumed dead."
